,Account No.,Prior Year,Prior Year Tax Due,Total Amount Due For Current Month,Notes
0,0150140000008,2018 - 2019,"2018 - 2019
$4,919.86","$8,585.67",Delinquent Taxes Exist
0,0150150000012,-,"-
$0.00",$868.94,Residential Homestead (Multiple)
0,0150240000006,-,"-
$0.00",$0.00,
0,0150240000016,2017 - 2019,"2017 - 2019
$16,117.12","$20,596.36","Taxes under Suit

Taxes in Litigation - Other Fees May Be Due Call 713-274-8000 for Final Balance"
0,0150310000002,-,"-
$0.00","$1,518.02",
0,0151350000020,-,"-
$0.00","$3,791.05",
0,0151360000004,-,"-
$0.00",$0.00,"Homestead Exemption

Our records indicate that your statement has been requested by a mortgage company."
0,0151390000006,2017 - 2017,"2017 - 2017
$3,006.37","$6,730.52","Taxes under Suit

Taxes in Litigation - Other Fees May Be Due Call 713-274-8000 for Final Balance"
0,0151420000007,2006 - 2018,"2006 - 2018
$11,345.72","$11,439.82","Residential Homestead (Multiple)

Delinquent Taxes Exist"
0,0160010150015,2012 - 2019,"2012 - 2019
$27,087.64","$29,126.73","Taxes under Suit

Taxes in Litigation - Other Fees May Be Due Call 713-274-8000 for Final Balance"
0,0162010000015,2012 - 2019,"2012 - 2019
$31,976.14","$34,978.17","Taxes under Suit

Taxes in Litigation - Other Fees May Be Due Call 713-274-8000 for Final Balance"
0,0162010000016,2005 - 2019,"2005 - 2019
$74,240.21","$77,165.23","Taxes under Judgment

Taxes in Litigation - Other Fees May Be Due Call 713-274-8000 for Final Balance"
0,0162010000021,2002 - 2019,"2002 - 2019
$72,567.31","$75,205.23","Taxes under Suit

Taxes in Litigation - Other Fees May Be Due Call 713-274-8000 for Final Balance"
0,0162010000024,2019 - 2019,"2019 - 2019
$432.40","$6,334.10",Delinquent Taxes Exist
0,0162100000004,2019 - 2019,"2019 - 2019
$5,005.97","$9,517.67",Delinquent Taxes Exist
0,0162100000007,-,"-
$0.00",$0.00,
0,0162200000006,-,"-
$0.00","$3,766.08",Homestead Exemption
0,0170010000004,2019 - 2019,"2019 - 2019
$80.00","$7,324.45","Taxes under Suit

Taxes in Litigation - Other Fees May Be Due Call 713-274-8000 for Final Balance"
0,0170480120009,-,"-
$0.00","$3,179.46",
0,0170490150004,-,"-
$0.00","$3,081.86",
0,0170710000014,-,"-
$0.00","$5,350.65",
